day,lower,mid,upper,calves,total,date
285,0,0,100,0,100,Mon 03-21-22
286,350,0,0,0,350,Tue 03-22-22
287,0,0,100,0,100,Wed 03-23-22
288,0,0,0,0,0,Thu 03-24-22
289,0,0,0,0,0,Fri 03-25-22
290,0,0,0,0,0,Sat 03-26-22
291,320,0,55,0,375,Sun 03-27-22
292,300,0,0,0,300,Mon 03-28-22
293,0,0,300,0,300,Tue 03-29-22
294,0,0,0,0,0,Wed 03-30-22
295,200,0,0,0,200,Thu 03-31-22
296,400,50,0,0,450,Fri 04-01-22
297,150,0,0,0,150,Sat 04-02-22
298,250,0,300,0,550,Sun 04-03-22
299,0,0,0,0,0,Mon 04-04-22
300,350,50,70,0,470,Tue 04-05-22
301,300,0,60,0,360,Wed 04-06-22
302,300,150,30,0,480,Thu 04-07-22
303,300,0,0,0,300,Fri 04-08-22
304,0,0,0,0,0,Sat 04-09-22
305,0,0,0,0,0,Sun 04-10-22
306,0,0,0,0,0,Mon 04-11-22
307,0,0,0,0,0,Tue 04-12-22
308,0,0,0,0,0,Wed 04-13-22
309,65,50,150,0,265,Thu 04-14-22
310,250,100,0,0,350,Fri 04-15-22
311,200,40,0,0,240,Sat 04-16-22
312,150,0,50,0,200,Sun 04-17-22
313,0,0,0,0,0,Mon 04-18-22
314,0,600,50,0,650,Tue 04-19-22
315,0,0,0,0,0,Wed 04-20-22
316,0,400,0,0,400,Thu 04-21-22
317,0,0,130,0,130,Fri 04-22-22
318,0,0,0,0,0,Sat 04-23-22
319,0,0,0,0,0,Sun 04-24-22
320,300,0,0,0,300,Mon 04-25-22
321,300,0,0,0,300,Tue 04-26-22
322,0,0,0,0,0,Wed 04-27-22
323,0,0,0,0,0,Thu 04-28-22
324,0,0,0,0,0,Fri 04-29-22
325,0,0,0,0,0,Sat 04-30-22
326,0,0,0,0,0,Sun 05-01-22
327,0,0,0,0,0,Mon 05-02-22
328,0,0,0,0,0,Tue 05-03-22
329,0,0,0,0,0,Wed 05-04-22
330,0,0,0,0,0,Thu 05-05-22
331,0,0,0,0,0,Fri 05-06-22
332,0,0,0,0,0,Sat 05-07-22
333,0,0,0,0,0,Sun 05-08-22
334,0,0,0,0,0,Mon 05-09-22
335,0,0,0,0,0,Tue 05-10-22
336,0,0,0,0,0,Wed 05-11-22
337,200,0,0,0,200,Thu 05-12-22
338,200,200,100,0,500,Fri 05-13-22
339,150,200,0,0,350,Sat 05-14-22
340,150,50,0,0,200,Sun 05-15-22
341,0,0,0,0,0,Mon 05-16-22
342,0,0,200,0,200,Tue 05-17-22
343,200,0,0,0,200,Wed 05-18-22
344,300,0,0,0,300,Thu 05-19-22
345,162,0,0,0,162,Fri 05-20-22
346,0,0,0,0,0,Sat 05-21-22
347,0,0,0,0,0,Sun 05-22-22
348,0,0,0,0,0,Mon 05-23-22
349,0,0,0,0,0,Tue 05-24-22
350,0,0,0,0,0,Wed 05-25-22
351,0,0,0,0,0,Thu 05-26-22
352,0,0,0,0,0,Fri 05-27-22
353,0,0,0,0,0,Sat 05-28-22
354,0,0,0,0,0,Sun 05-29-22
355,0,0,0,0,0,Mon 05-30-22
356,200,0,0,0,200,Tue 05-31-22
357,0,0,0,0,0,Wed 06-01-22
358,200,0,130,0,330,Thu 06-02-22
359,0,0,0,0,0,Fri 06-03-22
360,0,0,0,0,0,Sat 06-04-22
361,0,0,0,0,0,Sun 06-05-22
362,0,0,0,0,0,Mon 06-06-22
363,0,0,0,0,0,Tue 06-07-22
364,0,0,0,0,0,Wed 06-08-22
365,0,0,0,0,0,Thu 06-09-22
366,0,0,0,0,0,Fri 06-10-22
367,0,0,0,0,0,Sat 06-11-22
368,0,0,0,0,0,Sun 06-12-22
369,0,0,0,0,0,Mon 06-13-22
370,0,0,0,0,0,Tue 06-14-22
371,200,0,0,0,200,Wed 06-15-22
372,0,0,0,0,0,Thu 06-16-22
373,0,0,150,0,150,Fri 06-17-22
374,0,0,0,0,0,Sat 06-18-22
375,235,0,0,0,235,Sun 06-19-22
376,200,0,0,0,200,Mon 06-20-22
377,0,0,0,0,0,Tue 06-21-22
378,0,0,0,0,0,Wed 06-22-22
379,100,0,67,0,167,Thu 06-23-22
380,115,0,100,0,215,Fri 06-24-22
381,0,0,0,0,0,Sat 06-25-22
382,0,0,0,0,0,Sun 06-26-22
383,0,0,0,0,0,Mon 06-27-22
384,0,0,0,0,0,Tue 06-28-22
385,0,0,0,0,0,Wed 06-29-22
386,0,0,0,0,0,Thu 06-30-22
387,0,0,0,0,0,Fri 07-01-22
388,0,0,0,0,0,Sat 07-02-22
389,0,0,0,0,0,Sun 07-03-22
390,0,0,0,0,0,Mon 07-04-22
391,0,0,0,0,0,Tue 07-05-22
392,100,0,0,0,100,Wed 07-06-22
393,0,0,0,0,0,Thu 07-07-22
394,0,0,0,0,0,Fri 07-08-22
395,50,0,0,0,50,Sat 07-09-22
396,60,0,50,0,110,Sun 07-10-22
397,0,0,0,0,0,Mon 07-11-22
398,0,0,0,0,0,Tue 07-12-22
399,0,0,0,0,0,Wed 07-13-22
400,110,0,0,0,110,Thu 07-14-22
401,120,0,0,0,120,Fri 07-15-22
402,70,0,50,0,120,Sat 07-16-22
403,50,50,0,0,100,Sun 07-17-22
404,0,0,118,0,118,Mon 07-18-22
405,0,0,0,0,0,Tue 07-19-22
406,0,0,0,0,0,Wed 07-20-22
407,0,0,0,0,0,Thu 07-21-22
408,0,0,0,0,0,Fri 07-22-22
409,0,0,0,0,0,Sat 07-23-22
410,0,0,0,0,0,Sun 07-24-22
411,0,0,0,0,0,Mon 07-25-22
412,0,0,0,0,0,Tue 07-26-22
413,0,0,0,0,0,Wed 07-27-22
414,0,0,0,0,0,Thu 07-28-22
415,0,0,0,0,0,Fri 07-29-22
416,0,0,0,0,0,Sat 07-30-22
417,0,0,0,0,0,Sun 07-31-22
418,0,0,0,0,0,Mon 08-01-22
419,0,0,0,0,0,Tue 08-02-22
420,0,0,0,0,0,Wed 08-03-22
421,0,0,0,0,0,Thu 08-04-22
422,0,0,0,0,0,Fri 08-05-22
423,0,0,0,0,0,Sat 08-06-22
424,0,0,0,0,0,Sun 08-07-22
425,0,0,0,0,0,Mon 08-08-22
426,0,0,0,0,0,Tue 08-09-22
427,0,0,0,0,0,Wed 08-10-22
428,0,0,0,0,0,Thu 08-11-22
429,0,0,0,0,0,Fri 08-12-22
430,0,0,0,0,0,Sat 08-13-22
431,0,0,0,0,0,Sun 08-14-22
432,0,0,0,0,0,Mon 08-15-22
433,0,0,0,0,0,Tue 08-16-22
434,0,0,0,0,0,Wed 08-17-22
435,0,0,0,0,0,Thu 08-18-22
436,0,0,0,0,0,Fri 08-19-22
437,0,0,0,0,0,Sat 08-20-22
438,0,0,0,0,0,Sun 08-21-22
439,0,0,0,0,0,Mon 08-22-22
440,0,0,0,0,0,Tue 08-23-22
441,0,0,0,0,0,Wed 08-24-22
442,0,0,0,0,0,Thu 08-25-22
443,0,0,0,0,0,Fri 08-26-22
444,0,0,0,0,0,Sat 08-27-22
445,0,0,0,0,0,Sun 08-28-22
446,0,0,0,0,0,Mon 08-29-22
447,0,0,0,0,0,Tue 08-30-22
448,0,0,0,0,0,Wed 08-31-22
449,0,0,0,0,0,Thu 09-01-22
450,0,0,0,0,0,Fri 09-02-22
451,0,0,0,0,0,Sat 09-03-22
452,0,0,0,0,0,Sun 09-04-22
453,0,0,0,0,0,Mon 09-05-22
454,0,0,0,0,0,Tue 09-06-22
455,0,0,0,0,0,Wed 09-07-22
456,0,0,0,0,0,Thu 09-08-22
457,0,0,0,0,0,Fri 09-09-22
458,0,0,0,0,0,Sat 09-10-22
459,0,0,0,0,0,Sun 09-11-22
460,0,0,0,0,0,Mon 09-12-22
461,0,0,0,0,0,Tue 09-13-22
462,0,0,0,0,0,Wed 09-14-22
463,0,0,0,0,0,Thu 09-15-22
464,0,0,0,0,0,Fri 09-16-22
465,0,0,0,0,0,Sat 09-17-22
466,0,0,0,0,0,Sun 09-18-22
467,0,0,0,0,0,Mon 09-19-22
468,0,0,0,0,0,Tue 09-20-22
469,0,0,0,0,0,Wed 09-21-22
470,0,0,0,0,0,Thu 09-22-22
471,0,0,0,0,0,Fri 09-23-22
472,0,0,0,0,0,Sat 09-24-22
473,110,0,0,100,110,Sun 09-25-22
474,150,255,0,50,405,Mon 09-26-22
475,180,0,100,0,280,Tue 09-27-22
476,50,0,200,300,250,Wed 09-28-22
477,150,110,0,200,260,Thu 09-29-22
478,100,150,130,0,380,Fri 09-30-22
479,150,60,0,400,210,Sat 10-01-22
480,0,0,330,340,330,Sun 10-02-22
481,150,200,0,0,350,Mon 10-03-22
482,330,0,0,485,330,Tue 10-04-22
483,0,0,265,0,265,Wed 10-05-22
484,300,0,0,200,300,Thu 10-06-22
485,0,300,450,0,750,Fri 10-07-22
486,500,0,0,400,500,Sat 10-08-22
487,200,100,0,200,300,Sun 10-09-22
488,0,0,300,400,300,Mon 10-10-22
489,200,0,0,300,200,Tue 10-11-22
490,250,0,0,200,250,Wed 10-12-22
491,0,0,400,350,400,Thu 10-13-22
492,200,0,0,500,200,Fri 10-14-22
493,200,0,0,0,200,Sat 10-15-22
494,0,0,0,0,0,Sun 10-16-22
495,300,0,0,530,300,Mon 10-17-22
496,0,0,500,400,500,Tue 10-18-22
497,0,0,0,0,0,Wed 10-19-22
498,400,0,0,200,400,Thu 10-20-22
499,200,0,400,100,600,Fri 10-21-22
500,300,0,0,200,300,Sat 10-22-22
501,0,0,0,0,0,Sun 10-23-22
502,400,0,0,245,400,Mon 10-24-22
